nama;harga;lokasi;toko;rating;terjual
"ACER PREDATOR HELIOS NEO 16 RTX4060 8GB/ I7 13700HX 16GB 1TBSSD 16.0""";Rp19.999.000;Jakarta Utara;Gaming Laptop ID;5.0;11 terjual
"LEGION 5 PRO 16 i7-12700H 32GB 1TBSSD RTX3050Ti 4GB W11 16""QHD 165Hz";Rp16.249.000;Jakarta Utara;Top Tech;5.0;80+ terjual
Laptop LENOVO IDEAPAD SLIM 1 15 RYZEN 3 7320 4GB 256GB W11 15.6FHD IPS;Rp4.599.000;Jakarta Utara;Gaming Laptop ID;5.0;6 terjual
"LENOVO IdeaPad Slim 3 14IAU7 i3-1215U 256GB 14"" FHD Intel UHD W11 OHS";Rp6.099.000;Jakarta Pusat;Lenovo Legion Official;4.7;30+ terjual
Notebook Lenovo Ideapad D330-10IGL Celeron N4020 8/128 ssd touch;Rp1.600.000;Tangerang;Raja Elektronik Serang Store;5.0;3 terjual
"LAPTOP LENOVO IdeaPad 1 14IGL7 intel Celeron N4020 8GB 512GB 14"" DOS";Rp3.939.000;Jakarta Pusat;Protech Computer;4.8;50+ terjual
HP VICTUS Gaming 15 Core i5 12500H 8GB 512GB SSD RTX 3050 fa0011TX;Rp10.038.979;Jakarta Pusat;TeknoTrend;5.0;100+ terjual
Asus ROG Strix G16 2023 G614JI i9 13980HX 32GB 1TB RTX4070 8GB OHS;Rp34.999.000;Jakarta Utara;Top Tech;5.0;3 terjual
Asus ROG G512Li i7 10750 RAM 16GB 512GB ssd GTX1650Ti 4GB W10 15.6FHD;Rp12.999.000;Jakarta Utara;ALIENWARE OFFICIAL;5.0;5 terjual
"Lenovo Ideapad Slim 1 Ryzen 7320 8GB RAM 256GB SSD Win 11 OHS 14"" FHD";Rp5.449.000;Jakarta Utara;Thinkpad Official Store;5.0;100+ terjual
"ACER PREDATOR HELIOS NEO 16 I7 13700 RTX4060 16GB 1TB W11 16""QHD 165HZ";Rp19.999.000;Jakarta Utara;ALIENWARE GAMING STORE;5.0;4 terjual
"Lenovo LOQ 15 Gaming RTX3050 6GB Ryzen 5 7640HS 8GB 512SSD 15.6"" 144Hz";Rp13.299.000;Jakarta Pusat;Lenovo Legion Official;4.9;40+ terjual
ASUS ROG ZEPHYRUS M16 GU604VI CORE I9-13900H RTX4070 64GB 2TB SSD;Rp31.499.000;Jakarta Utara;ROGS STORE;5.0;9 terjual
HP VICTUS GAMING 15 FA0178TX RTX3050 intel i5 12450H RAM 16GB 512SSD;Rp11.999.000;Jakarta Utara;AGRES ID;5.0;10 terjual
Asus TUF Gaming F15 FX506HF-I525B6T-O [Core i5-11400H/8GB/512GB SSD];Rp10.999.000;Medan;INTIKOM STORE;5.0;2 terjual
"ACER NItro v 15 RTX4060 I9-13900H 16/32GB 512GB w11 ohs 15"" 144hz";Rp18.699.000;Jakarta Utara;Intel Gaming ID;5.0;14 terjual
"Asus ROG Flow X13 2in1 Ryzen 9 6900HS 16GB 1TB SSD RTX 3050Ti 13.4""";Rp18.399.000;Jakarta Pusat;Kingz Notebook;5.0;100+ terjual
Dell Gaming 15 P65F, I7- 7700HQ, Ram 8Gb/256Gb, GTX 1050Ti 4Gb;Rp6.850.000;Jakarta Barat;dr.com komputer;5.0;4 terjual
